Count of Victims,Age Group,Sex,Method of Killing,Domestic Abuse,Recorded Date,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity
1,35 to 44,Female,Blunt Implement,Domestic,Sep-11,Murder,Solved,Kingston Upon Thames,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Aug-11,Murder,Solved,Hillingdon,White
1,20 to 24,Female,Knife or Sharp Implement,Not Domestic,Aug-11,Murder,Solved,Hillingdon,White
1,35 to 44,Male,"Pysical Assualt, no weapon",Not Domestic,Feb-11,Murder,Solved,Lambeth,White
1,45 to 54,Female,Knife or Sharp Implement,Domestic,Feb-11,Murder,Solved,Lambeth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Feb-11,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Shooting,Not Domestic,Apr-11,Murder,Solved,Lambeth,Black
1,25 to 34,Male,Shooting,Not Domestic,Apr-11,Murder,Solved,Lambeth,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,May-11,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Blunt Implement,Not Domestic,May-11,Murder,Solved,Lambeth,White
1,25 to 34,Male,Shooting,Not Domestic,Jun-11,Murder,Solved,Lambeth,Black
1,13 to 19,Male,Shooting,Not Domestic,Jun-11,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Shooting,Not Domestic,Jun-11,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Shooting,Not Domestic,Aug-11,Murder,Solved,Lambeth,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Oct-11,Murder,Solved,Merton,Asian
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Aug-11,Murder,Solved,Brent,White
1,35 to 44,Male,"Pysical Assualt, no weapon",Not Domestic,Sep-11,Murder,Solved,Brent,White
1,20 to 24,Female,Knife or Sharp Implement,Domestic,Sep-11,Murder,Solved,Brent,Black
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Nov-11,Murder,Solved,Brent,Black
1,0 to 12,Male,Other Methods of Killing,Not Domestic,Mar-11,Manslaughter,Solved,Camden,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Apr-11,Murder,Solved,Camden,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,May-11,Murder,Solved,Camden,Other
1,25 to 34,Female,Knife or Sharp Implement,Domestic,Jan-11,Murder,Solved,Barnet,White
1,55 to 64,Female,Knife or Sharp Implement,Domestic,Jun-11,Murder,Solved,Barnet,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jul-11,Murder,Solved,Barnet,White
1,55 to 64,Male,Other Methods of Killing,Not Domestic,Sep-11,Murder,Solved,Barnet,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,May-11,Murder, Unsolved ,Ealing,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,May-11,Murder,Solved,Ealing,Asian
1,65 and over,Male,"Pysical Assualt, no weapon",Not Domestic,Aug-11,Murder,Solved,Ealing,White
1,25 to 34,Male,Blunt Implement,Not Domestic,Aug-11,Murder,Solved,Ealing,Black
1,20 to 24,Female,"Pysical Assualt, no weapon",Domestic,Dec-11,Murder,Solved,Ealing,Asian
1,65 and over,Female,"Pysical Assualt, no weapon",Domestic,Jun-11,Murder,Solved,Islington,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Jun-11,Murder,Solved,Islington,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic,Aug-11,Manslaughter,Solved,Islington,White
1,35 to 44,Male,"Pysical Assualt, no weapon",Not Domestic,Sep-11,Murder,Solved,Islington,Asian
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Dec-11,Murder,Solved,Islington,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Jan-11,Murder,Solved,Haringey,Asian
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Jan-11,Murder,Solved,Haringey,Black
1,20 to 24,Female,Knife or Sharp Implement,Domestic,Apr-11,Murder,Solved,Haringey,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,May-11,Murder,Solved,Ealing,Asian
1,25 to 34,Male,"Pysical Assualt, no weapon",Not Domestic,Jun-11,Murder,Solved,Haringey,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Sep-11,Murder,Solved,Haringey,Asian
1,65 and over,Male,Blunt Implement,Not Domestic,Nov-11,Murder,Solved,Haringey,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Jan-11,Murder,Solved,Southwark,Black
1,0 to 12,Male,Knife or Sharp Implement,Not Domestic,Feb-11,Murder,Solved,Southwark,Black
1,0 to 12,Female,Knife or Sharp Implement,Not Domestic,Feb-11,Murder,Solved,Southwark,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Jul-11,Murder,Solved,Ealing,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Jul-11,Murder,Solved,Southwark,White
1,20 to 24,Male,Shooting,Not Domestic,Nov-11,Murder, Unsolved ,Southwark,Asian
1,25 to 34,Female,Knife or Sharp Implement,Domestic,Nov-11,Murder,Solved,Southwark,Black
1,35 to 44,Female,Other Methods of Killing,Not Domestic,Feb-11,Manslaughter,Solved,Lewisham,Asian
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Feb-11,Murder,Solved,Lewisham,White
1,65 and over,Female,Blunt Implement,Not Domestic,Feb-11,Murder,Solved,Lewisham,White
1,55 to 64,Female,Other Methods of Killing,Not Domestic,Mar-11,Manslaughter,Solved,Lewisham,Asian
1,65 and over,Male,Knife or Sharp Implement,Not Domestic,May-11,Murder,Solved,Lewisham,White
1,35 to 44,Male,"Pysical Assualt, no weapon",Domestic,Jun-11,Murder,Solved,Lewisham,White
1,20 to 24,Female,Knife or Sharp Implement,Domestic,Nov-11,Murder,Solved,Lewisham,Black
1,25 to 34,Female,Blunt Implement,Not Domestic,Feb-11,Murder,Solved,Bromley,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Feb-11,Murder, Unsolved ,Bromley,White
1,13 to 19,Male,Blunt Implement,Not Domestic,Aug-11,Murder,Solved,Bromley,White
1,20 to 24,Male,Blunt Implement,Not Domestic,Jan-11,Murder,Solved,Greenwich,Asian
1,20 to 24,Male,Other Methods of Killing,Not Domestic,Feb-11,Murder,Solved,Greenwich,Asian
1,55 to 64,Male,Not known/Not Recorded,Not Domestic,Mar-11,Murder,Solved,Greenwich,White
1,20 to 24,Male,Shooting,Not Domestic,Jul-11,Murder,Solved,Greenwich,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Nov-11,Murder,Solved,Greenwich,Black
1,35 to 44,Female,Knife or Sharp Implement,Domestic,Dec-11,Murder,Solved,Greenwich,Black
1,35 to 44,Male,Shooting,Not Domestic,Jul-11,Murder,Solved,Croydon,Black
1,35 to 44,Male,Blunt Implement,Not Domestic,Jul-11,Murder,Solved,Croydon,Asian
1,35 to 44,Male,Blunt Implement,Not Domestic,Aug-11,Murder,Solved,Croydon,White
1,20 to 24,Male,Shooting,Not Domestic,Aug-11,Murder,Solved,Croydon,Black
1,45 to 54,Female,"Pysical Assualt, no weapon",Domestic,Oct-11,Murder,Solved,Croydon,White
1,0 to 12,Male,Not known/Not Recorded,Not Domestic,Jan-11,Murder,Solved,Bexley,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Jul-11,Murder,Solved,Bexley,Black
1,55 to 64,Female,Knife or Sharp Implement,Not Domestic,Oct-11,Murder,Solved,Ealing,White
1,25 to 34,Male,"Pysical Assualt, no weapon",Not Domestic,Oct-11,Murder,Solved,Bexley,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Dec-11,Murder,Solved,Ealing,White
1,35 to 44,Female,Knife or Sharp Implement,Not Domestic,Mar-11,Murder,Solved,Sutton,White
1,25 to 34,Male,Shooting,Not Domestic,Aug-11,Murder, Unsolved ,Croydon,Black
1,65 and over,Male,Other Methods of Killing,Domestic,Mar-11,Murder,Solved,Tower Hamlets,Asian
1,25 to 34,Unrecorded,Other Methods of Killing,Not Domestic,Mar-11,Murder,Solved,Tower Hamlets,Asian
1,65 and over,Female,"Pysical Assualt, no weapon",Not Domestic,Mar-11,Murder,Solved,Tower Hamlets,Not Reported/Not known
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Mar-11,Murder,Solved,Tower Hamlets,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Apr-11,Murder,Solved,Tower Hamlets,Asian
1,25 to 34,Female,Knife or Sharp Implement,Domestic,Apr-11,Murder,Solved,Tower Hamlets,White
1,35 to 44,Male,Shooting,Not Domestic,May-11,Murder, Unsolved ,Tower Hamlets,White
1,25 to 34,Female,Blunt Implement,Domestic,Dec-11,Murder,Solved,Tower Hamlets,Asian
1,35 to 44,Male,"Pysical Assualt, no weapon",Not Domestic,Dec-11,Murder,Solved,Tower Hamlets,Black
1,65 and over,Male,Knife or Sharp Implement,Domestic,Feb-11,Murder,Solved,Redbridge,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Aug-11,Murder,Solved,Redbridge,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Sep-11,Murder,Solved,Redbridge,Asian
1,35 to 44,Male,Knife or Sharp Implement,Domestic,Jan-11,Murder,Solved,Hackney,White
1,25 to 34,Male,Knife or Sharp Implement,Domestic,Oct-11,Murder,Solved,Hackney,White
1,25 to 34,Female,Not known/Not Recorded,Domestic,Jan-11,Murder,Solved,Waltham Forest,Asian
1,25 to 34,Male,Blunt Implement,Not Domestic,Jan-11,Murder,Solved,Waltham Forest,White
1,13 to 19,Male,Other Methods of Killing,Not Domestic,Jan-11,Murder,Solved,Waltham Forest,Black
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic,Mar-11,Murder,Solved,Waltham Forest,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Apr-11,Murder,Solved,Waltham Forest,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Oct-11,Murder,Solved,Barking & Dagenham,Asian
1,65 and over,Male,Knife or Sharp Implement,Domestic,Jan-11,Murder,Solved,Enfield,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Apr-11,Murder,Solved,Enfield,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Apr-11,Murder,Solved,Enfield,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Aug-11,Murder,Solved,Enfield,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Aug-11,Murder,Solved,Enfield,White
1,35 to 44,Male,Blunt Implement,Not Domestic,Jan-11,Murder,Solved,Newham,White
1,25 to 34,Female,"Pysical Assualt, no weapon",Domestic,Jul-11,Murder,Solved,Newham,Asian
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Dec-11,Murder,Solved,Newham,White
1,0 to 12,Male,Other Methods of Killing,Not Domestic,Jan-11,Murder,Solved,Havering,White
1,25 to 34,Male,"Pysical Assualt, no weapon",Not Domestic,Mar-11,Murder,Solved,Hammersmith & Fulham,White
1,25 to 34,Male,Shooting,Not Domestic,May-11,Murder,Solved,Hammersmith & Fulham,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jun-11,Murder,Solved,Hammersmith & Fulham,White
1,55 to 64,Male,Blunt Implement,Not Domestic,Oct-11,Murder,Solved,Ealing,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Dec-11,Murder,Solved,Westminster,Black
1,25 to 34,Male,"Pysical Assualt, no weapon",Not Domestic,Feb-12,Murder,Solved,Wandsworth,Black
1,0 to 12,Female,"Pysical Assualt, no weapon",Not Domestic,May-12,Murder,Solved,Wandsworth,White
1,0 to 12,Male,"Pysical Assualt, no weapon",Not Domestic,May-12,Murder,Solved,Wandsworth,White
1,0 to 12,Unrecorded,Not known/Not Recorded,Not Domestic,Sep-12,Murder,Solved,Wandsworth,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic,Dec-12,Murder, Unsolved ,Wandsworth,White
1,65 and over,Female,Knife or Sharp Implement,Domestic,Dec-12,Murder,Solved,Wandsworth,White
1,55 to 64,Female,"Pysical Assualt, no weapon",Not Domestic,Jun-12,Murder,Solved,Kingston Upon Thames,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Oct-12,Murder,Solved,Kingston Upon Thames,Black
1,65 and over,Male,Other Methods of Killing,Not Domestic,Jan-12,Manslaughter, Unsolved ,Hounslow,White
1,65 and over,Female,Blunt Implement,Not Domestic,Oct-12,Murder,Solved,Hounslow,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Dec-12,Murder,Solved,Hounslow,Black
1,20 to 24,Male,"Pysical Assualt, no weapon",Not Domestic,Nov-12,Murder,Solved,Richmond Upon Thames,White
1,65 and over,Male,Other Methods of Killing,Not Domestic,Feb-12,Manslaughter,Solved,Hillingdon,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Mar-12,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Aug-12,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Other Methods of Killing,Not Domestic,Sep-12,Manslaughter, Unsolved ,Lambeth,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Sep-12,Murder,Solved,Lambeth,Black
1,20 to 24,Male,"Pysical Assualt, no weapon",Not Domestic,May-12,Murder,Solved,Ealing,White
1,35 to 44,Male,"Pysical Assualt, no weapon",Not Domestic,Feb-12,Murder,Solved,Brent,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,May-12,Murder,Solved,Brent,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Sep-12,Murder,Solved,Brent,Black
1,25 to 34,Female,Knife or Sharp Implement,Domestic,Sep-12,Murder,Solved,Brent,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Dec-12,Murder,Solved,Brent,Black
1,20 to 24,Male,Shooting,Not Domestic,Jan-12,Murder,Solved,Camden,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Feb-12,Murder,Solved,Camden,White
1,25 to 34,Female,Not known/Not Recorded,Domestic,Apr-12,Murder,Solved,Camden,Other
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,May-12,Murder,Solved,Camden,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic,Nov-12,Murder,Solved,Camden,White
1,55 to 64,Male,"Pysical Assualt, no weapon",Not Domestic,Nov-12,Murder,Solved,Camden,White
1,45 to 54,Female,Knife or Sharp Implement,Domestic,Mar-12,Murder,Solved,Ealing,White
1,25 to 34,Male,Shooting,Not Domestic,Jun-12,Murder,Solved,Ealing,Black
1,65 and over,Female,Other Methods of Killing,Not Domestic,Nov-12,Murder,Solved,Ealing,White
1,55 to 64,Male,Not known/Not Recorded,Not Domestic,Nov-12,Murder,Solved,Ealing,Black
1,65 and over,Female,"Pysical Assualt, no weapon",Domestic,Dec-12,Murder,Solved,Ealing,White
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic,Apr-12,Murder,Solved,Islington,White
1,20 to 24,Female,Knife or Sharp Implement,Not Domestic,Jun-12,Murder,Solved,Islington,White
1,65 and over,Male,"Pysical Assualt, no weapon",Domestic,Jul-12,Murder,Solved,Islington,White
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Dec-12,Murder, Unsolved ,Islington,White
1,25 to 34,Male,Shooting,Not Domestic,Feb-12,Murder,Solved,Haringey,White
1,65 and over,Male,Other Methods of Killing,Not Domestic,Feb-12,Manslaughter,Solved,Haringey,White
1,65 and over,Male,Blunt Implement,Not Domestic,Mar-12,Murder,Solved,Haringey,White
1,45 to 54,Female,Knife or Sharp Implement,Domestic,May-12,Murder,Solved,Haringey,Black
1,65 and over,Female,Knife or Sharp Implement,Not Domestic,Aug-12,Murder,Solved,Haringey,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Oct-12,Murder,Solved,Haringey,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Apr-12,Murder,Solved,Southwark,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Sep-12,Murder,Solved,Ealing,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Sep-12,Murder,Solved,Southwark,Black
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Oct-12,Murder,Solved,Southwark,White
1,25 to 34,Male,"Pysical Assualt, no weapon",Not Domestic,Dec-12,Murder,Solved,Southwark,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Dec-12,Murder,Solved,Southwark,White
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic,Feb-12,Murder, Unsolved ,Lewisham,Black
1,65 and over,Female,Knife or Sharp Implement,Domestic,Mar-12,Murder,Solved,Lewisham,White
1,20 to 24,Male,Shooting,Not Domestic,Jun-12,Murder,Solved,Lewisham,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Aug-12,Murder,Solved,Lewisham,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Sep-12,Murder,Solved,Lewisham,Black
1,20 to 24,Male,Blunt Implement,Not Domestic,Nov-12,Murder,Solved,Lewisham,Asian
1,20 to 24,Male,"Pysical Assualt, no weapon",Not Domestic,Jun-12,Murder,Solved,Bromley,White
1,45 to 54,Male,Not known/Not Recorded,Not Domestic,Nov-12,Manslaughter, Unsolved ,Bromley,White
1,55 to 64,Male,Blunt Implement,Not Domestic,Dec-12,Manslaughter,Solved,Bromley,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Jun-12,Murder,Solved,Greenwich,Asian
1,65 and over,Female,Not known/Not Recorded,Not Domestic,Jul-12,Murder, Unsolved ,Greenwich,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Oct-12,Murder,Solved,Greenwich,Black
1,35 to 44,Male,Shooting,Not Domestic,Nov-12,Murder,Solved,Greenwich,Black
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Feb-12,Murder,Solved,Croydon,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Mar-12,Murder,Solved,Croydon,White
1,55 to 64,Male,Blunt Implement,Not Domestic,Apr-12,Murder,Solved,Croydon,White
1,25 to 34,Male,Shooting,Not Domestic,Jul-12,Murder,Solved,Croydon,Asian
1,0 to 12,Female,Not known/Not Recorded,Not Domestic,Aug-12,Murder,Solved,Croydon,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic,Dec-12,Murder,Solved,Croydon,White
1,55 to 64,Male,Other Methods of Killing,Not Domestic,Jan-12,Murder,Solved,Bexley,White
1,0 to 12,Male,Other Methods of Killing,Not Domestic,Jun-12,Manslaughter,Solved,Bexley,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Jun-12,Murder,Solved,Sutton,White
1,45 to 54,Female,Knife or Sharp Implement,Not Domestic,Aug-12,Murder,Solved,Sutton,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic,May-12,Murder,Solved,Tower Hamlets,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,May-12,Murder,Solved,Tower Hamlets,Asian
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Dec-12,Murder,Solved,Tower Hamlets,Black
1,13 to 19,Female,"Pysical Assualt, no weapon",Not Domestic,Feb-12,Murder,Solved,Redbridge,Black
1,13 to 19,Male,"Pysical Assualt, no weapon",Not Domestic,May-12,Murder,Solved,Redbridge,White
1,25 to 34,Male,Not known/Not Recorded,Not Domestic,Aug-12,Murder,Solved,Redbridge,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Nov-12,Murder,Solved,Redbridge,Black
1,13 to 19,Male,Other Methods of Killing,Not Domestic,Nov-12,Manslaughter,Solved,Redbridge,White
1,20 to 24,Female,Knife or Sharp Implement,Domestic,Jan-12,Murder,Solved,Hackney,White
1,25 to 34,Female,Not known/Not Recorded,Domestic,Mar-12,Murder,Solved,Hackney,White
1,20 to 24,Male,Knife or Sharp Implement,Domestic,Jul-12,Murder,Solved,Hackney,Black
1,25 to 34,Female,Blunt Implement,Domestic,Nov-12,Murder,Solved,Hackney,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,May-12,Murder,Solved,Waltham Forest,Black
1,45 to 54,Female,Not known/Not Recorded,Domestic,May-12,Murder,Solved,Waltham Forest,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jun-12,Murder, Unsolved ,Ealing,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Aug-12,Murder,Solved,Waltham Forest,White
1,45 to 54,Male,Knife or Sharp Implement,Domestic,Oct-12,Murder,Solved,Waltham Forest,Asian
1,55 to 64,Male,Knife or Sharp Implement,Domestic,Sep-12,Murder,Solved,Enfield,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Oct-12,Murder, Unsolved ,Ealing,Black
1,20 to 24,Female,Knife or Sharp Implement,Domestic,Nov-12,Murder,Solved,Enfield,Black
1,35 to 44,Male,"Pysical Assualt, no weapon",Not Domestic,May-12,Murder,Solved,Newham,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Jun-12,Murder,Solved,Newham,Black
1,35 to 44,Male,Blunt Implement,Not Domestic,Aug-12,Murder,Solved,Newham,White
1,25 to 34,Male,Not known/Not Recorded,Not Domestic,Dec-12,Murder,Solved,Havering,White
1,25 to 34,Female,"Pysical Assualt, no weapon",Domestic,Feb-12,Murder,Solved,Hammersmith & Fulham,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Aug-12,Murder,Solved,Hammersmith & Fulham,White
1,65 and over,Male,Knife or Sharp Implement,Not Domestic,Oct-12,Murder,Solved,Hammersmith & Fulham,White
1,65 and over,Male,Knife or Sharp Implement,Not Domestic,Nov-12,Murder,Solved,Hammersmith & Fulham,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Dec-12,Murder,Solved,Hammersmith & Fulham,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Apr-12,Murder,Solved,Westminster,White
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Jun-12,Murder,Solved,Ealing,White
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Jun-12,Murder,Solved,Westminster,White
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Aug-12,Murder,Solved,Westminster,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Feb-13,Murder,Solved,Wandsworth,Black
1,35 to 44,Female,Knife or Sharp Implement,Domestic,Jul-13,Murder,Solved,Wandsworth,White
1,13 to 19,Male,Shooting,Not Domestic,Sep-13,Murder,Solved,Wandsworth,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Oct-13,Murder,Solved,Wandsworth,White
1,65 and over,Female,"Pysical Assualt, no weapon",Not Domestic,Nov-13,Murder,Solved,Wandsworth,White
1,55 to 64,Female,"Pysical Assualt, no weapon",Not Domestic,Dec-13,Murder,Solved,Wandsworth,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jun-13,Murder,Solved,Kingston Upon Thames,White
1,35 to 44,Female,Blunt Implement,Not Domestic,Nov-13,Murder,Solved,Richmond Upon Thames,White
1,0 to 12,Female,Other Methods of Killing,Not Domestic,Apr-13,Murder,Solved,Hillingdon,Asian
1,0 to 12,Female,Other Methods of Killing,Not Domestic,Apr-13,Murder,Solved,Hillingdon,Asian
1,35 to 44,Female,"Pysical Assualt, no weapon",Domestic,Jul-13,Murder,Solved,Hillingdon,Asian
1,20 to 24,Female,Blunt Implement,Domestic,Jan-13,Murder,Solved,Lambeth,White
1,35 to 44,Male,Not known/Not Recorded,Not Domestic,Jan-13,Murder,Solved,Lambeth,White
1,0 to 12,Male,Not known/Not Recorded,Not Domestic,Mar-13,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Shooting,Not Domestic,Apr-13,Murder,Solved,Ealing,Black
1,45 to 54,Male,Other Methods of Killing,Not Domestic,Jun-13,Manslaughter,Solved,Ealing,Asian
1,25 to 34,Female,Knife or Sharp Implement,Domestic,Jul-13,Murder,Solved,Lambeth,Black
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Dec-13,Murder,Solved,Lambeth,White
1,55 to 64,Male,Blunt Implement,Not Domestic,May-13,Murder,Solved,Merton,White
1,20 to 24,Female,Shooting,Not Domestic,Aug-13,Murder,Solved,Brent,Black
1,55 to 64,Female,"Pysical Assualt, no weapon",Domestic,Oct-13,Murder,Solved,Brent,Asian
1,20 to 24,Male,Shooting,Not Domestic,Dec-13,Murder, Unsolved ,Brent,Black
1,55 to 64,Female,"Pysical Assualt, no weapon",Domestic,May-13,Murder,Solved,Camden,White
1,65 and over,Female,Knife or Sharp Implement,Domestic,Jan-13,Murder,Solved,Barnet,White
1,25 to 34,Female,Not known/Not Recorded,Not Domestic,Jul-13,Murder,Solved,Barnet,White
1,65 and over,Female,Blunt Implement,Domestic,Oct-13,Murder,Solved,Barnet,Other
1,55 to 64,Male,Other Methods of Killing,Not Domestic,Feb-13,Murder,Solved,Ealing,White
1,25 to 34,Male,"Burning, scalding",Not Domestic,Feb-13,Murder,Solved,Ealing,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic,Jul-13,Manslaughter,Solved,Ealing,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Aug-13,Murder,Solved,Ealing,White
1,35 to 44,Male,Knife or Sharp Implement,Domestic,Aug-13,Murder,Solved,Ealing,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Aug-13,Murder, Unsolved ,Ealing,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Nov-13,Murder,Solved,Ealing,Black
1,35 to 44,Female,"Pysical Assualt, no weapon",Domestic,Nov-13,Murder,Solved,Ealing,Asian
1,35 to 44,Male,Not known/Not Recorded,Not Domestic,Dec-13,Murder, Unsolved ,Ealing,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic,Dec-13,Murder,Solved,Ealing,Black
1,45 to 54,Male,"Pysical Assualt, no weapon",Not Domestic,Mar-13,Murder,Solved,Islington,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Apr-13,Murder,Solved,Islington,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Jun-13,Murder,Solved,Islington,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic,Jun-13,Murder,Solved,Islington,White
1,35 to 44,Male,Knife or Sharp Implement,Domestic,Oct-13,Murder,Solved,Islington,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Mar-13,Murder,Solved,Haringey,Black
1,0 to 12,Female,Not known/Not Recorded,Not Domestic,Aug-13,Murder,Solved,Haringey,Asian
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Sep-13,Murder,Solved,Haringey,Black
1,35 to 44,Female,Other Methods of Killing,Not Domestic,Dec-13,Murder,Solved,Haringey,White
1,20 to 24,Female,"Burning, scalding",Domestic,Jul-13,Murder,Solved,Southwark,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Nov-13,Murder,Solved,Southwark,White
1,65 and over,Female,Knife or Sharp Implement,Domestic,Feb-13,Murder,Solved,Lewisham,Black
1,0 to 12,Male,Not known/Not Recorded,Not Domestic,Mar-13,Murder,Solved,Lewisham,Black
1,65 and over,Female,Other Methods of Killing,Not Domestic,May-13,Murder,Solved,Lewisham,White
1,20 to 24,Female,Knife or Sharp Implement,Domestic,Aug-13,Murder,Solved,Lewisham,White
1,13 to 19,Male,Shooting,Not Domestic,May-13,Murder,Solved,Bromley,Black
1,13 to 19,Male,Other Methods of Killing,Not Domestic,Sep-13,Manslaughter,Solved,Bromley,White
